movieCd,image,link,userRating
20169323,https://ssl.pstatic.net/imgmovie/mdi/mit110/1488/148863_P10_094956.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148863,8.35
20183096,https://ssl.pstatic.net/imgmovie/mdi/mit110/1740/174050_P32_172314.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174050,7.15
20181877,https://ssl.pstatic.net/imgmovie/mdi/mit110/1326/132623_P22_133853.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132623,6.74
20060347,https://ssl.pstatic.net/imgmovie/mdi/mit110/0493/49336_P59_105053.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49336,7.90
20199736,https://ssl.pstatic.net/imgmovie/mdi/mit110/1842/184253_P10_155905.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184253,8.86
20183454,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180399_P00_154546.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180399,6.90
20180825,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171785_P84_181225.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171785,8.31
20198982,https://ssl.pstatic.net/imgmovie/mdi/mit110/1598/159845_P12_102707.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159845,8.84
19990220,https://ssl.pstatic.net/imgmovie/mdi/mit110/0248/24830_P18_133358.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24830,9.07
20176103,https://ssl.pstatic.net/imgmovie/mdi/mit110/1636/163608_P43_141047.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163608,7.43
20198104,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168045_P15_100136.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168045,8.47
20185406,https://ssl.pstatic.net/imgmovie/mdi/mit110/1642/164200_P05_105455.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164200,6.87
